ID,Equation,"Inputs (A, B, C, D, E)",Circuit,Min Delay (ns),Max Delay (ns),Combinational Depth,Final Output (Y)
2833,"NOT(OR(NOR(NOR(A, B), C), D))","[1, 1, 1, 0, 0]",NOT -> OR -> NOR -> NOR,6,9.5,4,1
2834,"NOT(OR(NOR(XNOR(A, B), C), D))","[1, 1, 1, 1, 0]",NOT -> OR -> NOR -> XNOR,7,10.5,4,0
2835,"NOT(OR(NOR(NOT(A), C), D))","[0, 1, 0, 0, 0]",NOT -> OR -> NOR -> NOT,5.5,8.5,4,1
2836,"NOT(OR(NOR(BUFFER(A), C), D))","[1, 0, 1, 1, 1]",NOT -> OR -> NOR -> BUFFER,4.7,7.5,4,0
2837,"NOT(OR(XNOR(AND(A, B), C), D))","[0, 0, 1, 0, 1]",NOT -> OR -> XNOR -> AND,7.5,11,4,1
2838,"NOT(OR(XNOR(OR(A, B), C), D))","[1, 0, 0, 1, 0]",NOT -> OR -> XNOR -> OR,7.5,11,4,0
2839,"NOT(OR(XNOR(XOR(A, B), C), D))","[0, 0, 1, 1, 1]",NOT -> OR -> XNOR -> XOR,8,11.5,4,0
2840,"NOT(OR(XNOR(NAND(A, B), C), D))","[0, 1, 0, 0, 1]",NOT -> OR -> XNOR -> NAND,7,10.5,4,1
2841,"NOT(OR(XNOR(NOR(A, B), C), D))","[0, 0, 0, 0, 1]",NOT -> OR -> XNOR -> NOR,7,10.5,4,1
2842,"NOT(OR(XNOR(XNOR(A, B), C), D))","[1, 1, 1, 1, 0]",NOT -> OR -> XNOR -> XNOR,8,11.5,4,0
2843,"NOT(OR(XNOR(NOT(A), C), D))","[0, 0, 0, 0, 0]",NOT -> OR -> XNOR -> NOT,6.5,9.5,4,1
2844,"NOT(OR(XNOR(BUFFER(A), C), D))","[0, 0, 1, 0, 0]",NOT -> OR -> XNOR -> BUFFER,5.7,8.5,4,1
2845,"NOT(OR(NOT(AND(A, B)), D))","[1, 1, 1, 1, 1]",NOT -> OR -> NOT -> AND,6,9,4,0
2846,"NOT(OR(NOT(OR(A, B)), D))","[1, 0, 1, 0, 0]",NOT -> OR -> NOT -> OR,6,9,4,1
2847,"NOT(OR(NOT(XOR(A, B)), D))","[1, 1, 1, 1, 0]",NOT -> OR -> NOT -> XOR,6.5,9.5,4,0
2848,"NOT(OR(NOT(NAND(A, B)), D))","[1, 1, 0, 1, 1]",NOT -> OR -> NOT -> NAND,5.5,8.5,4,0
2849,"NOT(OR(NOT(NOR(A, B)), D))","[0, 0, 0, 0, 1]",NOT -> OR -> NOT -> NOR,5.5,8.5,4,1
2850,"NOT(OR(NOT(XNOR(A, B)), D))","[0, 0, 1, 1, 0]",NOT -> OR -> NOT -> XNOR,6.5,9.5,4,0
2851,"NOT(OR(BUFFER(AND(A, B)), D))","[1, 1, 0, 1, 1]",NOT -> OR -> BUFFER -> AND,5.2,8,4,0
2852,"NOT(OR(BUFFER(OR(A, B)), D))","[1, 0, 0, 0, 0]",NOT -> OR -> BUFFER -> OR,5.2,8,4,0
2853,"NOT(OR(BUFFER(XOR(A, B)), D))","[1, 0, 1, 1, 0]",NOT -> OR -> BUFFER -> XOR,5.7,8.5,4,0
2854,"NOT(OR(BUFFER(NAND(A, B)), D))","[1, 1, 0, 0, 1]",NOT -> OR -> BUFFER -> NAND,4.7,7.5,4,1
2855,"NOT(OR(BUFFER(NOR(A, B)), D))","[0, 1, 1, 0, 1]",NOT -> OR -> BUFFER -> NOR,4.7,7.5,4,1
2856,"NOT(OR(BUFFER(XNOR(A, B)), D))","[1, 0, 1, 1, 1]",NOT -> OR -> BUFFER -> XNOR,5.7,8.5,4,0
2857,"NOT(XOR(AND(AND(A, B), C), D))","[1, 0, 0, 1, 1]",NOT -> XOR -> AND -> AND,7.5,11,4,0
2858,"NOT(XOR(AND(OR(A, B), C), D))","[0, 0, 0, 0, 1]",NOT -> XOR -> AND -> OR,7.5,11,4,1
2859,"NOT(XOR(AND(XOR(A, B), C), D))","[1, 1, 0, 1, 1]",NOT -> XOR -> AND -> XOR,8,11.5,4,0
2860,"NOT(XOR(AND(NAND(A, B), C), D))","[0, 0, 0, 0, 0]",NOT -> XOR -> AND -> NAND,7,10.5,4,1
2861,"NOT(XOR(AND(NOR(A, B), C), D))","[0, 0, 1, 0, 0]",NOT -> XOR -> AND -> NOR,7,10.5,4,0
2862,"NOT(XOR(AND(XNOR(A, B), C), D))","[0, 1, 1, 1, 0]",NOT -> XOR -> AND -> XNOR,8,11.5,4,0
2863,"NOT(XOR(AND(NOT(A), C), D))","[0, 0, 0, 1, 0]",NOT -> XOR -> AND -> NOT,6.5,9.5,4,0
2864,"NOT(XOR(AND(BUFFER(A), C), D))","[0, 1, 0, 1, 1]",NOT -> XOR -> AND -> BUFFER,5.7,8.5,4,0
2865,"NOT(XOR(OR(AND(A, B), C), D))","[0, 1, 1, 0, 0]",NOT -> XOR -> OR -> AND,7.5,11,4,0
2866,"NOT(XOR(OR(OR(A, B), C), D))","[1, 1, 1, 0, 0]",NOT -> XOR -> OR -> OR,7.5,11,4,0
2867,"NOT(XOR(OR(XOR(A, B), C), D))","[0, 1, 1, 0, 1]",NOT -> XOR -> OR -> XOR,8,11.5,4,0
2868,"NOT(XOR(OR(NAND(A, B), C), D))","[1, 0, 0, 0, 1]",NOT -> XOR -> OR -> NAND,7,10.5,4,0
2869,"NOT(XOR(OR(NOR(A, B), C), D))","[0, 0, 0, 0, 0]",NOT -> XOR -> OR -> NOR,7,10.5,4,0
2870,"NOT(XOR(OR(XNOR(A, B), C), D))","[1, 1, 0, 1, 0]",NOT -> XOR -> OR -> XNOR,8,11.5,4,1
2871,"NOT(XOR(OR(NOT(A), C), D))","[1, 1, 0, 0, 1]",NOT -> XOR -> OR -> NOT,6.5,9.5,4,1
2872,"NOT(XOR(OR(BUFFER(A), C), D))","[1, 1, 0, 0, 0]",NOT -> XOR -> OR -> BUFFER,5.7,8.5,4,0
2873,"NOT(XOR(XOR(AND(A, B), C), D))","[1, 1, 0, 1, 1]",NOT -> XOR -> XOR -> AND,8,11.5,4,1
2874,"NOT(XOR(XOR(OR(A, B), C), D))","[0, 1, 1, 0, 1]",NOT -> XOR -> XOR -> OR,8,11.5,4,1
2875,"NOT(XOR(XOR(XOR(A, B), C), D))","[1, 0, 0, 1, 1]",NOT -> XOR -> XOR -> XOR,8.5,12,4,1
2876,"NOT(XOR(XOR(NAND(A, B), C), D))","[0, 0, 1, 0, 0]",NOT -> XOR -> XOR -> NAND,7.5,11,4,1
2877,"NOT(XOR(XOR(NOR(A, B), C), D))","[1, 1, 1, 1, 0]",NOT -> XOR -> XOR -> NOR,7.5,11,4,1
2878,"NOT(XOR(XOR(XNOR(A, B), C), D))","[0, 0, 1, 1, 0]",NOT -> XOR -> XOR -> XNOR,8.5,12,4,0
2879,"NOT(XOR(XOR(NOT(A), C), D))","[0, 1, 0, 1, 0]",NOT -> XOR -> XOR -> NOT,7,10,4,1
2880,"NOT(XOR(XOR(BUFFER(A), C), D))","[1, 1, 0, 1, 0]",NOT -> XOR -> XOR -> BUFFER,6.2,9,4,1
2881,"NOT(XOR(NAND(AND(A, B), C), D))","[1, 0, 0, 0, 1]",NOT -> XOR -> NAND -> AND,7,10.5,4,0
2882,"NOT(XOR(NAND(OR(A, B), C), D))","[0, 1, 1, 0, 0]",NOT -> XOR -> NAND -> OR,7,10.5,4,1
2883,"NOT(XOR(NAND(XOR(A, B), C), D))","[1, 0, 1, 1, 0]",NOT -> XOR -> NAND -> XOR,7.5,11,4,0
2884,"NOT(XOR(NAND(NAND(A, B), C), D))","[0, 0, 0, 0, 0]",NOT -> XOR -> NAND -> NAND,6.5,10,4,0
2885,"NOT(XOR(NAND(NOR(A, B), C), D))","[0, 1, 0, 0, 0]",NOT -> XOR -> NAND -> NOR,6.5,10,4,0
2886,"NOT(XOR(NAND(XNOR(A, B), C), D))","[1, 1, 0, 1, 0]",NOT -> XOR -> NAND -> XNOR,7.5,11,4,1
2887,"NOT(XOR(NAND(NOT(A), C), D))","[0, 1, 1, 0, 0]",NOT -> XOR -> NAND -> NOT,6,9,4,1
2888,"NOT(XOR(NAND(BUFFER(A), C), D))","[0, 1, 0, 0, 1]",NOT -> XOR -> NAND -> BUFFER,5.2,8,4,0
2889,"NOT(XOR(NOR(AND(A, B), C), D))","[0, 1, 0, 0, 1]",NOT -> XOR -> NOR -> AND,7,10.5,4,0
2890,"NOT(XOR(NOR(OR(A, B), C), D))","[1, 0, 1, 1, 0]",NOT -> XOR -> NOR -> OR,7,10.5,4,0
2891,"NOT(XOR(NOR(XOR(A, B), C), D))","[0, 0, 1, 1, 1]",NOT -> XOR -> NOR -> XOR,7.5,11,4,0
2892,"NOT(XOR(NOR(NAND(A, B), C), D))","[1, 1, 0, 1, 0]",NOT -> XOR -> NOR -> NAND,6.5,10,4,1
2893,"NOT(XOR(NOR(NOR(A, B), C), D))","[1, 1, 0, 1, 1]",NOT -> XOR -> NOR -> NOR,6.5,10,4,1
2894,"NOT(XOR(NOR(XNOR(A, B), C), D))","[0, 1, 1, 1, 0]",NOT -> XOR -> NOR -> XNOR,7.5,11,4,0
2895,"NOT(XOR(NOR(NOT(A), C), D))","[1, 1, 1, 0, 1]",NOT -> XOR -> NOR -> NOT,6,9,4,1
2896,"NOT(XOR(NOR(BUFFER(A), C), D))","[1, 1, 0, 1, 1]",NOT -> XOR -> NOR -> BUFFER,5.2,8,4,0
2897,"NOT(XOR(XNOR(AND(A, B), C), D))","[1, 1, 0, 0, 1]",NOT -> XOR -> XNOR -> AND,8,11.5,4,1
2898,"NOT(XOR(XNOR(OR(A, B), C), D))","[0, 1, 1, 1, 0]",NOT -> XOR -> XNOR -> OR,8,11.5,4,1
2899,"NOT(XOR(XNOR(XOR(A, B), C), D))","[0, 0, 0, 1, 1]",NOT -> XOR -> XNOR -> XOR,8.5,12,4,1
2900,"NOT(XOR(XNOR(NAND(A, B), C), D))","[0, 0, 1, 1, 0]",NOT -> XOR -> XNOR -> NAND,7.5,11,4,1
2901,"NOT(XOR(XNOR(NOR(A, B), C), D))","[1, 1, 1, 0, 0]",NOT -> XOR -> XNOR -> NOR,7.5,11,4,1
2902,"NOT(XOR(XNOR(XNOR(A, B), C), D))","[1, 1, 0, 1, 0]",NOT -> XOR -> XNOR -> XNOR,8.5,12,4,0
2903,"NOT(XOR(XNOR(NOT(A), C), D))","[0, 0, 0, 0, 0]",NOT -> XOR -> XNOR -> NOT,7,10,4,1
2904,"NOT(XOR(XNOR(BUFFER(A), C), D))","[1, 0, 1, 1, 0]",NOT -> XOR -> XNOR -> BUFFER,6.2,9,4,1
2905,"NOT(XOR(NOT(AND(A, B)), D))","[1, 1, 1, 1, 1]",NOT -> XOR -> NOT -> AND,6.5,9.5,4,0
2906,"NOT(XOR(NOT(OR(A, B)), D))","[0, 0, 0, 0, 1]",NOT -> XOR -> NOT -> OR,6.5,9.5,4,0
2907,"NOT(XOR(NOT(XOR(A, B)), D))","[1, 1, 0, 0, 1]",NOT -> XOR -> NOT -> XOR,7,10,4,0
2908,"NOT(XOR(NOT(NAND(A, B)), D))","[0, 0, 0, 0, 0]",NOT -> XOR -> NOT -> NAND,6,9,4,1
2909,"NOT(XOR(NOT(NOR(A, B)), D))","[1, 1, 1, 1, 0]",NOT -> XOR -> NOT -> NOR,6,9,4,1
2910,"NOT(XOR(NOT(XNOR(A, B)), D))","[0, 1, 1, 1, 0]",NOT -> XOR -> NOT -> XNOR,7,10,4,1
2911,"NOT(XOR(BUFFER(AND(A, B)), D))","[0, 0, 0, 1, 1]",NOT -> XOR -> BUFFER -> AND,5.7,8.5,4,0
2912,"NOT(XOR(BUFFER(OR(A, B)), D))","[0, 1, 0, 0, 1]",NOT -> XOR -> BUFFER -> OR,5.7,8.5,4,0
2913,"NOT(XOR(BUFFER(XOR(A, B)), D))","[0, 0, 1, 0, 0]",NOT -> XOR -> BUFFER -> XOR,6.2,9,4,1
2914,"NOT(XOR(BUFFER(NAND(A, B)), D))","[0, 0, 1, 1, 0]",NOT -> XOR -> BUFFER -> NAND,5.2,8,4,1
2915,"NOT(XOR(BUFFER(NOR(A, B)), D))","[1, 1, 0, 1, 1]",NOT -> XOR -> BUFFER -> NOR,5.2,8,4,0
2916,"NOT(XOR(BUFFER(XNOR(A, B)), D))","[0, 1, 0, 0, 1]",NOT -> XOR -> BUFFER -> XNOR,6.2,9,4,1
2917,"NOT(NAND(AND(AND(A, B), C), D))","[1, 0, 1, 0, 0]",NOT -> NAND -> AND -> AND,6.5,10,4,0
2918,"NOT(NAND(AND(OR(A, B), C), D))","[0, 1, 1, 0, 1]",NOT -> NAND -> AND -> OR,6.5,10,4,0
2919,"NOT(NAND(AND(XOR(A, B), C), D))","[1, 1, 0, 1, 0]",NOT -> NAND -> AND -> XOR,7,10.5,4,0
2920,"NOT(NAND(AND(NAND(A, B), C), D))","[0, 0, 0, 0, 1]",NOT -> NAND -> AND -> NAND,6,9.5,4,0
2921,"NOT(NAND(AND(NOR(A, B), C), D))","[1, 1, 1, 1, 0]",NOT -> NAND -> AND -> NOR,6,9.5,4,0
2922,"NOT(NAND(AND(XNOR(A, B), C), D))","[0, 1, 1, 0, 1]",NOT -> NAND -> AND -> XNOR,7,10.5,4,0
2923,"NOT(NAND(AND(NOT(A), C), D))","[1, 1, 0, 0, 1]",NOT -> NAND -> AND -> NOT,5.5,8.5,4,0
2924,"NOT(NAND(AND(BUFFER(A), C), D))","[0, 1, 0, 0, 0]",NOT -> NAND -> AND -> BUFFER,4.7,7.5,4,0
2925,"NOT(NAND(OR(AND(A, B), C), D))","[0, 1, 0, 0, 0]",NOT -> NAND -> OR -> AND,6.5,10,4,0
2926,"NOT(NAND(OR(OR(A, B), C), D))","[1, 1, 1, 1, 1]",NOT -> NAND -> OR -> OR,6.5,10,4,1
2927,"NOT(NAND(OR(XOR(A, B), C), D))","[1, 0, 1, 1, 0]",NOT -> NAND -> OR -> XOR,7,10.5,4,1
2928,"NOT(NAND(OR(NAND(A, B), C), D))","[0, 0, 0, 1, 1]",NOT -> NAND -> OR -> NAND,6,9.5,4,1
2929,"NOT(NAND(OR(NOR(A, B), C), D))","[0, 1, 0, 1, 0]",NOT -> NAND -> OR -> NOR,6,9.5,4,0
2930,"NOT(NAND(OR(XNOR(A, B), C), D))","[1, 1, 1, 0, 1]",NOT -> NAND -> OR -> XNOR,7,10.5,4,0
2931,"NOT(NAND(OR(NOT(A), C), D))","[0, 1, 1, 1, 1]",NOT -> NAND -> OR -> NOT,5.5,8.5,4,1
2932,"NOT(NAND(OR(BUFFER(A), C), D))","[1, 0, 1, 0, 1]",NOT -> NAND -> OR -> BUFFER,4.7,7.5,4,0
2933,"NOT(NAND(XOR(AND(A, B), C), D))","[1, 0, 1, 1, 1]",NOT -> NAND -> XOR -> AND,7,10.5,4,1
2934,"NOT(NAND(XOR(OR(A, B), C), D))","[0, 0, 1, 0, 1]",NOT -> NAND -> XOR -> OR,7,10.5,4,0
2935,"NOT(NAND(XOR(XOR(A, B), C), D))","[1, 1, 0, 0, 1]",NOT -> NAND -> XOR -> XOR,7.5,11,4,0
2936,"NOT(NAND(XOR(NAND(A, B), C), D))","[0, 1, 1, 1, 1]",NOT -> NAND -> XOR -> NAND,6.5,10,4,0
2937,"NOT(NAND(XOR(NOR(A, B), C), D))","[0, 0, 1, 0, 1]",NOT -> NAND -> XOR -> NOR,6.5,10,4,0
2938,"NOT(NAND(XOR(XNOR(A, B), C), D))","[1, 1, 1, 1, 0]",NOT -> NAND -> XOR -> XNOR,7.5,11,4,0
2939,"NOT(NAND(XOR(NOT(A), C), D))","[0, 1, 1, 0, 0]",NOT -> NAND -> XOR -> NOT,6,9,4,0
2940,"NOT(NAND(XOR(BUFFER(A), C), D))","[0, 0, 1, 0, 0]",NOT -> NAND -> XOR -> BUFFER,5.2,8,4,0
2941,"NOT(NAND(NAND(AND(A, B), C), D))","[0, 0, 1, 1, 1]",NOT -> NAND -> NAND -> AND,6,9.5,4,1
2942,"NOT(NAND(NAND(OR(A, B), C), D))","[1, 1, 0, 0, 0]",NOT -> NAND -> NAND -> OR,6,9.5,4,0
2943,"NOT(NAND(NAND(XOR(A, B), C), D))","[1, 0, 1, 0, 1]",NOT -> NAND -> NAND -> XOR,6.5,10,4,0
2944,"NOT(NAND(NAND(NAND(A, B), C), D))","[0, 1, 1, 0, 0]",NOT -> NAND -> NAND -> NAND,5.5,9,4,0
2945,"NOT(NAND(NAND(NOR(A, B), C), D))","[0, 0, 1, 0, 0]",NOT -> NAND -> NAND -> NOR,5.5,9,4,0
2946,"NOT(NAND(NAND(XNOR(A, B), C), D))","[0, 1, 1, 1, 1]",NOT -> NAND -> NAND -> XNOR,6.5,10,4,1
2947,"NOT(NAND(NAND(NOT(A), C), D))","[0, 0, 0, 0, 1]",NOT -> NAND -> NAND -> NOT,5,8,4,0
2948,"NOT(NAND(NAND(BUFFER(A), C), D))","[1, 1, 0, 0, 1]",NOT -> NAND -> NAND -> BUFFER,4.2,7,4,0
2949,"NOT(NAND(NOR(AND(A, B), C), D))","[0, 0, 0, 0, 0]",NOT -> NAND -> NOR -> AND,6,9.5,4,0
2950,"NOT(NAND(NOR(OR(A, B), C), D))","[0, 0, 1, 1, 1]",NOT -> NAND -> NOR -> OR,6,9.5,4,0
2951,"NOT(NAND(NOR(XOR(A, B), C), D))","[1, 1, 1, 0, 0]",NOT -> NAND -> NOR -> XOR,6.5,10,4,0
2952,"NOT(NAND(NOR(NAND(A, B), C), D))","[1, 1, 1, 1, 1]",NOT -> NAND -> NOR -> NAND,5.5,9,4,0
2953,"NOT(NAND(NOR(NOR(A, B), C), D))","[1, 0, 0, 0, 0]",NOT -> NAND -> NOR -> NOR,5.5,9,4,0
2954,"NOT(NAND(NOR(XNOR(A, B), C), D))","[0, 1, 0, 1, 1]",NOT -> NAND -> NOR -> XNOR,6.5,10,4,1
2955,"NOT(NAND(NOR(NOT(A), C), D))","[0, 1, 0, 1, 1]",NOT -> NAND -> NOR -> NOT,5,8,4,0
2956,"NOT(NAND(NOR(BUFFER(A), C), D))","[1, 1, 0, 1, 0]",NOT -> NAND -> NOR -> BUFFER,4.2,7,4,0
2957,"NOT(NAND(XNOR(AND(A, B), C), D))","[1, 0, 1, 1, 1]",NOT -> NAND -> XNOR -> AND,7,10.5,4,0
2958,"NOT(NAND(XNOR(OR(A, B), C), D))","[0, 1, 1, 0, 0]",NOT -> NAND -> XNOR -> OR,7,10.5,4,0
2959,"NOT(NAND(XNOR(XOR(A, B), C), D))","[0, 0, 1, 1, 1]",NOT -> NAND -> XNOR -> XOR,7.5,11,4,0
2960,"NOT(NAND(XNOR(NAND(A, B), C), D))","[1, 1, 1, 1, 0]",NOT -> NAND -> XNOR -> NAND,6.5,10,4,0
2961,"NOT(NAND(XNOR(NOR(A, B), C), D))","[1, 0, 0, 1, 0]",NOT -> NAND -> XNOR -> NOR,6.5,10,4,1
2962,"NOT(NAND(XNOR(XNOR(A, B), C), D))","[0, 1, 1, 1, 1]",NOT -> NAND -> XNOR -> XNOR,7.5,11,4,0
2963,"NOT(NAND(XNOR(NOT(A), C), D))","[0, 1, 0, 0, 0]",NOT -> NAND -> XNOR -> NOT,6,9,4,0
2964,"NOT(NAND(XNOR(BUFFER(A), C), D))","[0, 0, 0, 1, 1]",NOT -> NAND -> XNOR -> BUFFER,5.2,8,4,1
2965,"NOT(NAND(NOT(AND(A, B)), D))","[0, 0, 0, 1, 0]",NOT -> NAND -> NOT -> AND,5.5,8.5,4,1
2966,"NOT(NAND(NOT(OR(A, B)), D))","[1, 1, 0, 1, 1]",NOT -> NAND -> NOT -> OR,5.5,8.5,4,0
2967,"NOT(NAND(NOT(XOR(A, B)), D))","[1, 0, 1, 0, 1]",NOT -> NAND -> NOT -> XOR,6,9,4,0
2968,"NOT(NAND(NOT(NAND(A, B)), D))","[1, 1, 1, 0, 0]",NOT -> NAND -> NOT -> NAND,5,8,4,0
2969,"NOT(NAND(NOT(NOR(A, B)), D))","[0, 1, 1, 0, 1]",NOT -> NAND -> NOT -> NOR,5,8,4,0
2970,"NOT(NAND(NOT(XNOR(A, B)), D))","[0, 0, 1, 0, 0]",NOT -> NAND -> NOT -> XNOR,6,9,4,0
2971,"NOT(NAND(BUFFER(AND(A, B)), D))","[0, 0, 1, 0, 0]",NOT -> NAND -> BUFFER -> AND,4.7,7.5,4,0
2972,"NOT(NAND(BUFFER(OR(A, B)), D))","[1, 0, 1, 1, 1]",NOT -> NAND -> BUFFER -> OR,4.7,7.5,4,1
2973,"NOT(NAND(BUFFER(XOR(A, B)), D))","[1, 1, 1, 1, 0]",NOT -> NAND -> BUFFER -> XOR,5.2,8,4,0
2974,"NOT(NAND(BUFFER(NAND(A, B)), D))","[1, 1, 1, 1, 0]",NOT -> NAND -> BUFFER -> NAND,4.2,7,4,0
2975,"NOT(NAND(BUFFER(NOR(A, B)), D))","[0, 1, 0, 0, 0]",NOT -> NAND -> BUFFER -> NOR,4.2,7,4,0
2976,"NOT(NAND(BUFFER(XNOR(A, B)), D))","[0, 1, 0, 0, 1]",NOT -> NAND -> BUFFER -> XNOR,5.2,8,4,0
2977,"NOT(NOR(AND(AND(A, B), C), D))","[0, 1, 1, 0, 1]",NOT -> NOR -> AND -> AND,6.5,10,4,0
2978,"NOT(NOR(AND(OR(A, B), C), D))","[1, 1, 0, 0, 0]",NOT -> NOR -> AND -> OR,6.5,10,4,0
2979,"NOT(NOR(AND(XOR(A, B), C), D))","[1, 1, 0, 0, 1]",NOT -> NOR -> AND -> XOR,7,10.5,4,0
2980,"NOT(NOR(AND(NAND(A, B), C), D))","[0, 1, 1, 0, 1]",NOT -> NOR -> AND -> NAND,6,9.5,4,1
2981,"NOT(NOR(AND(NOR(A, B), C), D))","[0, 0, 1, 0, 1]",NOT -> NOR -> AND -> NOR,6,9.5,4,1
2982,"NOT(NOR(AND(XNOR(A, B), C), D))","[1, 0, 0, 0, 0]",NOT -> NOR -> AND -> XNOR,7,10.5,4,0
2983,"NOT(NOR(AND(NOT(A), C), D))","[1, 1, 1, 0, 1]",NOT -> NOR -> AND -> NOT,5.5,8.5,4,0
2984,"NOT(NOR(AND(BUFFER(A), C), D))","[1, 1, 1, 0, 1]",NOT -> NOR -> AND -> BUFFER,4.7,7.5,4,1
2985,"NOT(NOR(OR(AND(A, B), C), D))","[0, 0, 0, 1, 0]",NOT -> NOR -> OR -> AND,6.5,10,4,1
2986,"NOT(NOR(OR(OR(A, B), C), D))","[0, 1, 1, 0, 1]",NOT -> NOR -> OR -> OR,6.5,10,4,1
2987,"NOT(NOR(OR(XOR(A, B), C), D))","[0, 1, 1, 0, 0]",NOT -> NOR -> OR -> XOR,7,10.5,4,1
2988,"NOT(NOR(OR(NAND(A, B), C), D))","[0, 0, 1, 0, 1]",NOT -> NOR -> OR -> NAND,6,9.5,4,1
2989,"NOT(NOR(OR(NOR(A, B), C), D))","[0, 0, 1, 0, 0]",NOT -> NOR -> OR -> NOR,6,9.5,4,1
2990,"NOT(NOR(OR(XNOR(A, B), C), D))","[1, 0, 0, 0, 1]",NOT -> NOR -> OR -> XNOR,7,10.5,4,0
2991,"NOT(NOR(OR(NOT(A), C), D))","[1, 1, 0, 1, 0]",NOT -> NOR -> OR -> NOT,5.5,8.5,4,1
2992,"NOT(NOR(OR(BUFFER(A), C), D))","[1, 1, 0, 0, 1]",NOT -> NOR -> OR -> BUFFER,4.7,7.5,4,1
2993,"NOT(NOR(XOR(AND(A, B), C), D))","[1, 1, 1, 1, 1]",NOT -> NOR -> XOR -> AND,7,10.5,4,1
2994,"NOT(NOR(XOR(OR(A, B), C), D))","[0, 0, 0, 1, 1]",NOT -> NOR -> XOR -> OR,7,10.5,4,1
2995,"NOT(NOR(XOR(XOR(A, B), C), D))","[1, 0, 1, 0, 0]",NOT -> NOR -> XOR -> XOR,7.5,11,4,0
2996,"NOT(NOR(XOR(NAND(A, B), C), D))","[1, 0, 1, 1, 0]",NOT -> NOR -> XOR -> NAND,6.5,10,4,1
2997,"NOT(NOR(XOR(NOR(A, B), C), D))","[1, 1, 1, 0, 0]",NOT -> NOR -> XOR -> NOR,6.5,10,4,1
2998,"NOT(NOR(XOR(XNOR(A, B), C), D))","[1, 1, 0, 1, 0]",NOT -> NOR -> XOR -> XNOR,7.5,11,4,1
2999,"NOT(NOR(XOR(NOT(A), C), D))","[0, 1, 0, 1, 0]",NOT -> NOR -> XOR -> NOT,6,9,4,1
3000,"NOT(NOR(XOR(BUFFER(A), C), D))","[0, 1, 0, 1, 1]",NOT -> NOR -> XOR -> BUFFER,5.2,8,4,1
3001,"NOT(NOR(NAND(AND(A, B), C), D))","[0, 1, 0, 1, 0]",NOT -> NOR -> NAND -> AND,6,9.5,4,1
3002,"NOT(NOR(NAND(OR(A, B), C), D))","[0, 0, 1, 0, 1]",NOT -> NOR -> NAND -> OR,6,9.5,4,1
3003,"NOT(NOR(NAND(XOR(A, B), C), D))","[0, 1, 1, 0, 1]",NOT -> NOR -> NAND -> XOR,6.5,10,4,0
3004,"NOT(NOR(NAND(NAND(A, B), C), D))","[0, 0, 0, 0, 0]",NOT -> NOR -> NAND -> NAND,5.5,9,4,1
3005,"NOT(NOR(NAND(NOR(A, B), C), D))","[1, 0, 1, 1, 1]",NOT -> NOR -> NAND -> NOR,5.5,9,4,1
3006,"NOT(NOR(NAND(XNOR(A, B), C), D))","[1, 1, 1, 0, 1]",NOT -> NOR -> NAND -> XNOR,6.5,10,4,0
3007,"NOT(NOR(NAND(NOT(A), C), D))","[1, 1, 1, 1, 0]",NOT -> NOR -> NAND -> NOT,5,8,4,1
3008,"NOT(NOR(NAND(BUFFER(A), C), D))","[1, 0, 0, 1, 0]",NOT -> NOR -> NAND -> BUFFER,4.2,7,4,1
3009,"NOT(NOR(NOR(AND(A, B), C), D))","[1, 0, 0, 0, 1]",NOT -> NOR -> NOR -> AND,6,9.5,4,1
3010,"NOT(NOR(NOR(OR(A, B), C), D))","[0, 1, 1, 1, 1]",NOT -> NOR -> NOR -> OR,6,9.5,4,1
3011,"NOT(NOR(NOR(XOR(A, B), C), D))","[1, 0, 0, 0, 1]",NOT -> NOR -> NOR -> XOR,6.5,10,4,0
3012,"NOT(NOR(NOR(NAND(A, B), C), D))","[1, 1, 1, 1, 1]",NOT -> NOR -> NOR -> NAND,5.5,9,4,1
3013,"NOT(NOR(NOR(NOR(A, B), C), D))","[0, 0, 0, 1, 0]",NOT -> NOR -> NOR -> NOR,5.5,9,4,1
3014,"NOT(NOR(NOR(XNOR(A, B), C), D))","[1, 1, 1, 0, 1]",NOT -> NOR -> NOR -> XNOR,6.5,10,4,0
3015,"NOT(NOR(NOR(NOT(A), C), D))","[0, 0, 1, 1, 0]",NOT -> NOR -> NOR -> NOT,5,8,4,1
3016,"NOT(NOR(NOR(BUFFER(A), C), D))","[0, 1, 1, 1, 0]",NOT -> NOR -> NOR -> BUFFER,4.2,7,4,1
3017,"NOT(NOR(XNOR(AND(A, B), C), D))","[1, 1, 0, 1, 0]",NOT -> NOR -> XNOR -> AND,7,10.5,4,1
3018,"NOT(NOR(XNOR(OR(A, B), C), D))","[0, 1, 1, 0, 1]",NOT -> NOR -> XNOR -> OR,7,10.5,4,1
3019,"NOT(NOR(XNOR(XOR(A, B), C), D))","[1, 1, 1, 1, 0]",NOT -> NOR -> XNOR -> XOR,7.5,11,4,1
3020,"NOT(NOR(XNOR(NAND(A, B), C), D))","[0, 1, 0, 1, 1]",NOT -> NOR -> XNOR -> NAND,6.5,10,4,1
3021,"NOT(NOR(XNOR(NOR(A, B), C), D))","[0, 1, 0, 0, 1]",NOT -> NOR -> XNOR -> NOR,6.5,10,4,1
